Name,Year,Position,Number,School,YDS,TDS
Myles Grove,SR,QB/LB,#10,English Valleys,334,4
Ty Alcott,JR,RB/DB,#24,Belle Plaine,194,3
Nolan Kriegel,FR,QB/DB,#2,Iowa Valley,140,4
Ethan Bockelman,SR,QB/DB,#22,Lone Tree,293,5
Eli Schmidt,SR,RB/S,#3,Clarksville,148,3
Ben Coffman,JR,RB/LB,#9,English Valleys,133,1
Luke Cripps,SR,WR/S,#1,Boyer Valley,112,1
Brayden Svejda,JR,QB/CB,#1,Calamus-Wheatland,241,5
Shane Helmick,SR,QB/DE,#12,Moravia,88,0
MaKade Bloker,SR,RB/LB,#11,Clarksville,185,1
Beau Burns,SO,QB/DB,#2,BGM,124,1
Titus Evans,SR,RB/LB,#12,Nashua-Plainfield,158,2
Dawson Smith,SR,RB/LB,#20,Iowa Valley,62,2
Aiden Gelner,JR,RB/DB,#33,Nashua-Plainfield,154,3
Kael Caikoski,SR,RB/LB,#22,Melcher-Dallas,28,0
Breckin Clatt,JR,RB/DB,#14,Colo-Nesco,159,4
Perrin Sulzle,JR,QB/LB,#7,Baxter,61,1
Luke Rohling,SR,FB/LB,#16,Calamus-Wheatland,44,0
Mason Hoy,SO,RB/CB,#9,Springville,65,1
Aldo Esteban-Cabrera,JR,RB/LB,#22,Murray,31,1
Kendrick Mastin,SR,RB/LB,#9,Murray,77,2
Cade Robinson,JR,WR/CB,#12,Baxter,16,0
Conlin Rouse,SO,RB/LB,#11,Springville,11,0
Jordan Goad,JR,QB/CB,#1,Springville,14,1
Braden Jordan,SO,QB/LB,#10,Springville,31,0
Nolan Gannon,FR,RB/LB,#34,Murray,46,3
Dallas Smith,JR,QB/DB,#2,Twin Cedars,9,0
Brody Koch,SO,RB/LB,#5,Calamus-Wheatland,67,0
Levi Reineke,SO,LB/RB,#29,Boyer Valley,20,0
Brady Boulton,SO,QB/DB,#1,Montezuma,80,2
Luke Brennan,SO,QB/DB,#6,Montezuma,0,0
Brenden Connett,SR,RB/LB,#20,Twin Cedars,10,0
Jacob Berens,SR,RB/LB,#34,Boyer Valley,22,0
Owen Backer,SO,RB/S,#22,Clarksville,4,0
Jader Sanchez,SR,RB/DB,#4,Lone Tree,42,1
Brett Plants,JR,RB/LB,#22,Montezuma,75,2
Broox Stockman,SO,RB/LB,#20,Montezuma,37,0
Jackson McDanel,SR,RB/LB,#30,Moravia,22,0
Navarii Williams,SO,RB/DB,#22,Nashua-Plainfield,36,0
Jeremy Reineke,SR,OL/LB,#45,Belle Plaine,3,0
Lane Vokoun,JR,RB/DB,#35,Belle Plaine,15,0
Cainan Travis,JR,WR/LB,#20,Baxter,44,1
Cruz DeJong,SR,TE/LB,#40,Montezuma,19,0
Miles Carpenter,FR,RB/LB,#21,Nashua-Plainfield,20,0
Caden Page,JR,QB/LB,#8,Murray,19,0
Deshon Anderson,SO,RB/LB,#32,English Valleys,18,0
Brock Micetich,FR,RB/LB,#36,Twin Cedars,1,0
Maddox Jondle,JR,QB/LB,#11,Lone Tree,42,1
Hunter DeGard,FR,OG/DE,#24,Melcher-Dallas,7,0
Jack Angell,SO,QB/DB,#18,Colo-Nesco,18,0
Mark Bower,JR,RB/DB,#25,Colo-Nesco,97,1
Landon Gjerde,SO,RB/LB,#1,Colo-Nesco,53,2
Gannon Short,JR,RB/DB,#11,Colo-Nesco,16,2
Keaton Brammer,FR,WR/CB,#14,Murray,0,1
Keegan Chew,FR,QB/S,#7,Murray,-4,0
Braxton Davis,JR,WR/DB,#9,Twin Cedars,-3,0
Blake Micetich,SR,RB/DB,#3,Twin Cedars,2,0
Owen Garside,JR,S/QB,#3,Boyer Valley,4,0
Colton Cox,FR,RB/DB,#33,Melcher-Dallas,-5,0
David Rose,JR,WR/DB,#5,Montezuma,9,0
Lars Taylor,JR,TE/LB,#43,Montezuma,17,0
Jesse Myhr,JR,FB/DE,#8,Moravia,12,0
Luke Lansing,SO,RB/LB,#44,Springville,4,0
Mason Maschmann,SR,RB/LB,#11,BGM,1,0
Tucker Franzen,SR,QB/DB,#10,Nashua-Plainfield,1,1
Tyler Zimmer,SO,RB/LB,#4,Nashua-Plainfield,14,1
Sam DeMeulenaere,JR,E/LB,#12,Belle Plaine,-2,0
Wade Sankot,SO,RB/LB,#3,Belle Plaine,7,0
Aidan Timm,SO,QB/DB,#9,Belle Plaine,-3,0
Jaxon Darby,FR,TE/CB,#17,Murray,1,0
Kace Patton,SR,WR/CB,#10,Murray,16,0
Treyton Travis,SR,WR/CB,#24,Baxter,-2,0
Domonic Garcia,SO,WR/DB,#8,Lone Tree,5,0
Dominic Graap,SR,WR/DB,#19,Lone Tree,0,0
Mayson Hemsted,SO,WR/DB,#2,Lone Tree,4,0
Ryan Heaton,JR,FB/DE,#43,Melcher-Dallas,-3,0
Rocky Johnson,FR,RB/DB,#15,Melcher-Dallas,2,0
Leo Schrader,FR,QB/DB,#23,Melcher-Dallas,-3,0
Gavyn Thordarson,SO,RB/DE,#8,Melcher-Dallas,3,0
Isaac Messamaker,JR,FB/LB,#25,Moravia,-4,0
Carter Hassebroek,JR,WR/DB,#8,Iowa Valley,5,0
Karter Thiessen,SR,RB/DB,#9,Iowa Valley,2,0
Dakota Heishman,JR,WR/DB,#8,BGM,11,0
Aidyn Iriarte,FR,RB/LB,#24,Nashua-Plainfield,6,0
